wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName,collectionArtistViewUrl
track,song,115234,1440865423,1440865429,Weezer,Make Believe,Perfect Situation,Make Believe,Perfect Situation,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/perfect-situation/1440865423?i=1440865429&uo=4,https://music.apple.com/us/album/perfect-situation/1440865423?i=1440865429&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/eb/86/34/eb8634ae-058a-63b7-3d6f-fc365901d2c2/mzaf_15954721454809367683.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/47/40/48/474048e5-27ed-319e-1b60-73dae6a716d8/06UMGIM12419.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/47/40/48/474048e5-27ed-319e-1b60-73dae6a716d8/06UMGIM12419.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/47/40/48/474048e5-27ed-319e-1b60-73dae6a716d8/06UMGIM12419.rgb.jpg/100x100bb.jpg,10.99,1.29,2005-05-10T12:00:00Z,notExplicit,notExplicit,1,1,12,2,254333,USA,USD,Rock,True,,,
track,song,115234,1440878798,1440879552,Weezer,Weezer,In the Garage,Weezer,In the Garage,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/in-the-garage/1440878798?i=1440879552&uo=4,https://music.apple.com/us/album/in-the-garage/1440878798?i=1440879552&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/68/66/6e/68666ef0-3bce-2697-7f62-437a8f746a69/mzaf_3084704913531051260.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/100x100bb.jpg,9.99,1.29,1994-05-10T12:00:00Z,notExplicit,notExplicit,1,1,10,8,235973,USA,USD,Pop,True,,,
track,song,115234,1450270988,1450271333,Weezer,Weezer (Teal Album),No Scrubs,Weezer (Teal Album),No Scrubs,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/no-scrubs/1450270988?i=1450271333&uo=4,https://music.apple.com/us/album/no-scrubs/1450270988?i=1450271333&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/c2/f3/22/c2f3220e-db23-6967-f7b0-df5804168ddb/mzaf_6363347378844590608.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/100x100bb.jpg,9.99,1.29,2019-01-24T12:00:00Z,notExplicit,notExplicit,1,1,10,8,190280,USA,USD,Alternative,True,,,
track,song,115234,1450270988,1450271429,Weezer,Weezer (Teal Album),Stand by Me,Weezer (Teal Album),Stand by Me,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/stand-by-me/1450270988?i=1450271429&uo=4,https://music.apple.com/us/album/stand-by-me/1450270988?i=1450271429&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/94/b8/51/94b85169-6a38-2e83-f1f2-67af5e6d459f/mzaf_2945032819838508764.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/100x100bb.jpg,9.99,1.29,2019-01-24T12:00:00Z,notExplicit,notExplicit,1,1,10,10,180920,USA,USD,Alternative,True,,,
track,song,115234,1450270988,1450271427,Weezer,Weezer (Teal Album),Billie Jean,Weezer (Teal Album),Billie Jean,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/billie-jean/1450270988?i=1450271427&uo=4,https://music.apple.com/us/album/billie-jean/1450270988?i=1450271427&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/66/27/6f/66276faa-535a-e907-0d55-f65af313b57b/mzaf_4271570435761333685.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/97/e6/70/97e670f6-361b-a23d-617a-52bafcd631cd/075679854247.jpg/100x100bb.jpg,9.99,1.29,2019-01-24T12:00:00Z,notExplicit,notExplicit,1,1,10,9,294120,USA,USD,Alternative,True,,,
track,song,115234,1270328038,1270328050,Weezer,Pacific Daydream,Feels Like Summer,Pacific Daydream,Feels Like Summer,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/feels-like-summer/1270328038?i=1270328050&uo=4,https://music.apple.com/us/album/feels-like-summer/1270328038?i=1270328050&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/f8/32/31/f83231d0-362e-b5d3-fdde-658500fb8e60/mzaf_12229657314894690723.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/f0/84/70/f084703f-8519-3ab1-762d-ba11accba6dd/075679888525.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/f0/84/70/f084703f-8519-3ab1-762d-ba11accba6dd/075679888525.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/f0/84/70/f084703f-8519-3ab1-762d-ba11accba6dd/075679888525.jpg/100x100bb.jpg,9.99,1.29,2017-03-16T12:00:00Z,notExplicit,notExplicit,1,1,10,3,196031,USA,USD,Alternative,True,,,
track,song,115234,1549768766,1549768907,Weezer,OK Human,All My Favorite Songs,OK Human,All My Favorite Songs,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/all-my-favorite-songs/1549768766?i=1549768907&uo=4,https://music.apple.com/us/album/all-my-favorite-songs/1549768766?i=1549768907&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c3/a4/f4/c3a4f445-7eac-cac1-0786-615a0b21c6ab/mzaf_13060883652654493884.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/54/08/17/540817d9-387e-8f68-52af-9fb08a085b6d/075679799715.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/54/08/17/540817d9-387e-8f68-52af-9fb08a085b6d/075679799715.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/54/08/17/540817d9-387e-8f68-52af-9fb08a085b6d/075679799715.jpg/100x100bb.jpg,9.99,1.29,2021-01-23T08:00:00Z,notExplicit,notExplicit,1,1,12,1,202703,USA,USD,Alternative,True,,,
track,song,115234,1440878798,1440879555,Weezer,Weezer,Only in Dreams,Weezer,Only in Dreams,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/only-in-dreams/1440878798?i=1440879555&uo=4,https://music.apple.com/us/album/only-in-dreams/1440878798?i=1440879555&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/0c/64/2a/0c642a2b-5bac-9ca0-1c3a-d691759f6045/mzaf_12994617183281919759.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d0/16/da/d016da24-577e-b584-3a5a-116efb5ca362/16UMGIM52971.rgb.jpg/100x100bb.jpg,9.99,1.29,1994-05-10T12:00:00Z,notExplicit,notExplicit,1,1,10,10,479360,USA,USD,Pop,True,,,
track,song,115234,1487738280,1487738503,Weezer,Frozen 2 (Original Motion Picture Soundtrack) [Deluxe Edition],Lost in the Woods (Weezer Version),Frozen 2 (Original Motion Picture Soundtrack) [Deluxe Edition],Lost in the Woods (Weezer Version),https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/lost-in-the-woods-weezer-version/1487738280?i=1487738503&uo=4,https://music.apple.com/us/album/lost-in-the-woods-weezer-version/1487738280?i=1487738503&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/67/ac/91/67ac9113-1c56-3944-bbe3-fd93aafcf0c2/mzaf_17691529407927754661.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/66/cf/70/66cf7012-98ed-b201-21ed-b1ee0e9ad26f/19UM1IM00155.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/66/cf/70/66cf7012-98ed-b201-21ed-b1ee0e9ad26f/19UM1IM00155.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/66/cf/70/66cf7012-98ed-b201-21ed-b1ee0e9ad26f/19UM1IM00155.rgb.jpg/100x100bb.jpg,15.99,1.29,2019-11-22T12:00:00Z,notExplicit,notExplicit,2,1,27,11,185240,USA,USD,Soundtrack,True,456023325.0,"Kristen Anderson-Lopez & Robert Lopez, Idina Menzel, Kristen Bell & Christophe Beck",https://music.apple.com/us/artist/kristen-anderson-lopez-robert-lopez/456023325?uo=4
track,song,115234,1440869641,1440869921,Weezer,Weezer (Deluxe Edition),Buddy Holly,Weezer (Deluxe Edition),Buddy Holly,https://music.apple.com/us/artist/weezer/115234?uo=4,https://music.apple.com/us/album/buddy-holly/1440869641?i=1440869921&uo=4,https://music.apple.com/us/album/buddy-holly/1440869641?i=1440869921&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/df/60/34/df60346a-1cf2-ddab-1cf0-d65645b33f36/mzaf_16808171662639286332.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/98/ef/02/98ef026e-7d73-f8ce-90d0-b41371ad20aa/16UMGIM52970.rgb.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/98/ef/02/98ef026e-7d73-f8ce-90d0-b41371ad20aa/16UMGIM52970.rgb.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/98/ef/02/98ef026e-7d73-f8ce-90d0-b41371ad20aa/16UMGIM52970.rgb.jpg/100x100bb.jpg,14.99,1.29,1994-05-10T12:00:00Z,notExplicit,notExplicit,2,1,10,4,159587,USA,USD,Pop,True,,,
